algoritmo,n,tipo,dominio,muestra,tiempo_ms
naive,1024,densa,D0,a,2444.19
strassen,1024,densa,D0,a,739.874
naive,1024,densa,D0,b,2501.95
strassen,1024,densa,D0,b,738.856
naive,1024,densa,D0,c,2486.19
strassen,1024,densa,D0,c,770.443
naive,1024,densa,D10,a,2428.67
strassen,1024,densa,D10,a,723.197
naive,1024,densa,D10,b,3159.15
strassen,1024,densa,D10,b,725.57
naive,1024,densa,D10,c,2377.48
strassen,1024,densa,D10,c,791.296
naive,1024,diagonal,D0,a,3644.53
strassen,1024,diagonal,D0,a,743.585
naive,1024,diagonal,D0,b,2371
strassen,1024,diagonal,D0,b,728.255
naive,1024,diagonal,D0,c,2457.93
strassen,1024,diagonal,D0,c,943.797
naive,1024,diagonal,D10,a,2503.14
strassen,1024,diagonal,D10,a,737.333
naive,1024,diagonal,D10,b,2913.71
strassen,1024,diagonal,D10,b,790.893
naive,1024,diagonal,D10,c,3806.11
strassen,1024,diagonal,D10,c,1038.71
naive,1024,dispersa,D0,a,3373.06
strassen,1024,dispersa,D0,a,772.486
naive,1024,dispersa,D0,b,2780.17
strassen,1024,dispersa,D0,b,937.024
naive,1024,dispersa,D0,c,3121.77
strassen,1024,dispersa,D0,c,891.35
naive,1024,dispersa,D10,a,2757.34
strassen,1024,dispersa,D10,a,779.756
naive,1024,dispersa,D10,b,3072.94
strassen,1024,dispersa,D10,b,765.847
naive,1024,dispersa,D10,c,2715.28
strassen,1024,dispersa,D10,c,778.701
naive,16,densa,D0,a,0.005041
strassen,16,densa,D0,a,0.007379
naive,16,densa,D0,b,0.007936
strassen,16,densa,D0,b,0.007757
naive,16,densa,D0,c,0.005235
strassen,16,densa,D0,c,0.006615
naive,16,densa,D10,a,0.005048
strassen,16,densa,D10,a,0.007205
naive,16,densa,D10,b,0.004988
strassen,16,densa,D10,b,0.008248
naive,16,densa,D10,c,0.005049
strassen,16,densa,D10,c,0.008535
naive,16,diagonal,D0,a,0.008959
strassen,16,diagonal,D0,a,0.008418
naive,16,diagonal,D0,b,0.008956
strassen,16,diagonal,D0,b,0.007914
naive,16,diagonal,D0,c,0.008705
strassen,16,diagonal,D0,c,0.009681
naive,16,diagonal,D10,a,0.007592
strassen,16,diagonal,D10,a,0.007589
naive,16,diagonal,D10,b,0.00728
strassen,16,diagonal,D10,b,0.005201
naive,16,diagonal,D10,c,0.009076
strassen,16,diagonal,D10,c,0.00805
naive,16,dispersa,D0,a,0.007168
strassen,16,dispersa,D0,a,0.007696
naive,16,dispersa,D0,b,0.005107
strassen,16,dispersa,D0,b,0.007284
naive,16,dispersa,D0,c,0.005054
strassen,16,dispersa,D0,c,0.006914
naive,16,dispersa,D10,a,0.007486
strassen,16,dispersa,D10,a,0.007415
naive,16,dispersa,D10,b,0.007904
strassen,16,dispersa,D10,b,0.004961
naive,16,dispersa,D10,c,0.004825
strassen,16,dispersa,D10,c,0.021293
naive,256,densa,D0,a,39.4831
strassen,256,densa,D0,a,35.0294
naive,256,densa,D0,b,51.4606
strassen,256,densa,D0,b,29.6551
naive,256,densa,D0,c,22.7562
strassen,256,densa,D0,c,19.1268
naive,256,densa,D10,a,31.2447
strassen,256,densa,D10,a,17.7198
naive,256,densa,D10,b,24.298
strassen,256,densa,D10,b,19.7795
naive,256,densa,D10,c,21.8228
strassen,256,densa,D10,c,19.2175
naive,256,diagonal,D0,a,21.756
strassen,256,diagonal,D0,a,19.3039
naive,256,diagonal,D0,b,26.6344
strassen,256,diagonal,D0,b,24.6309
naive,256,diagonal,D0,c,27.9398
strassen,256,diagonal,D0,c,19.4838
naive,256,diagonal,D10,a,24.1071
strassen,256,diagonal,D10,a,18.4847
naive,256,diagonal,D10,b,21.4654
strassen,256,diagonal,D10,b,17.6017
naive,256,diagonal,D10,c,26.0788
strassen,256,diagonal,D10,c,24.8522
naive,256,dispersa,D0,a,21.1
strassen,256,dispersa,D0,a,20.6327
naive,256,dispersa,D0,b,26.9868
strassen,256,dispersa,D0,b,18.1059
naive,256,dispersa,D0,c,19.5991
strassen,256,dispersa,D0,c,23.152
naive,256,dispersa,D10,a,29.7882
strassen,256,dispersa,D10,a,19.4769
