algoritmo,n,tipo,dominio,muestra,tiempo_ms
sort,10000000,aleatorio,D1,a,303.77
merge,10000000,aleatorio,D1,a,1141.06
quick,10000000,aleatorio,D1,a,389.832
patience,10000000,aleatorio,D1,a,379.077
sort,10000000,aleatorio,D1,b,281.24
merge,10000000,aleatorio,D1,b,1130.93
quick,10000000,aleatorio,D1,b,386.894
patience,10000000,aleatorio,D1,b,378.737
sort,10000000,aleatorio,D1,c,282.486
merge,10000000,aleatorio,D1,c,1124.74
quick,10000000,aleatorio,D1,c,371.247
patience,10000000,aleatorio,D1,c,384.107
sort,10000000,aleatorio,D7,a,862.807
merge,10000000,aleatorio,D7,a,1763.97
quick,10000000,aleatorio,D7,a,1095.25
patience,10000000,aleatorio,D7,a,1696.51
sort,10000000,aleatorio,D7,b,860.801
merge,10000000,aleatorio,D7,b,1784.14
quick,10000000,aleatorio,D7,b,1098.28
patience,10000000,aleatorio,D7,b,1679.56
sort,10000000,aleatorio,D7,c,853.544
merge,10000000,aleatorio,D7,c,1795.2
quick,10000000,aleatorio,D7,c,1104.08
patience,10000000,aleatorio,D7,c,1700.25
sort,10000000,ascendente,D1,a,147.422
merge,10000000,ascendente,D1,a,816.157
quick,10000000,ascendente,D1,a,257.321
patience,10000000,ascendente,D1,a,195.853
sort,10000000,ascendente,D1,b,145.731
merge,10000000,ascendente,D1,b,768.131
quick,10000000,ascendente,D1,b,240.483
patience,10000000,ascendente,D1,b,193.722
sort,10000000,ascendente,D1,c,145.718
merge,10000000,ascendente,D1,c,772.384
quick,10000000,ascendente,D1,c,234.419
patience,10000000,ascendente,D1,c,194.383
sort,10000000,ascendente,D7,a,191.559
merge,10000000,ascendente,D7,a,775.034
quick,10000000,ascendente,D7,a,279.214
patience,10000000,ascendente,D7,a,1919.05
sort,10000000,ascendente,D7,b,168.554
merge,10000000,ascendente,D7,b,786.126
quick,10000000,ascendente,D7,b,302.383
patience,10000000,ascendente,D7,b,1852.05
sort,10000000,ascendente,D7,c,170.158
merge,10000000,ascendente,D7,c,784.662
quick,10000000,ascendente,D7,c,287.054
patience,10000000,ascendente,D7,c,1835.65
sort,10000000,descendente,D1,a,130.258
merge,10000000,descendente,D1,a,775.97
quick,10000000,descendente,D1,a,238.222
patience,10000000,descendente,D1,a,152.974
sort,10000000,descendente,D1,b,129.314
merge,10000000,descendente,D1,b,774.37
quick,10000000,descendente,D1,b,237.883
patience,10000000,descendente,D1,b,156.412
sort,10000000,descendente,D1,c,129.65
merge,10000000,descendente,D1,c,764.511
quick,10000000,descendente,D1,c,243.821
patience,10000000,descendente,D1,c,156.813
sort,10000000,descendente,D7,a,155.978
merge,10000000,descendente,D7,a,848.452
quick,10000000,descendente,D7,a,294.298
patience,10000000,descendente,D7,a,174.914
sort,10000000,descendente,D7,b,150.625
merge,10000000,descendente,D7,b,854.825
quick,10000000,descendente,D7,b,301.981
patience,10000000,descendente,D7,b,175.461
sort,10000000,descendente,D7,c,161.852
merge,10000000,descendente,D7,c,841.475
quick,10000000,descendente,D7,c,299.253
patience,10000000,descendente,D7,c,155.441
sort,100000,aleatorio,D1,a,5.99481
merge,100000,aleatorio,D1,a,10.7068
quick,100000,aleatorio,D1,a,3.78731
patience,100000,aleatorio,D1,a,3.99561
sort,100000,aleatorio,D1,b,2.74673
merge,100000,aleatorio,D1,b,12.5565
quick,100000,aleatorio,D1,b,4.2799
patience,100000,aleatorio,D1,b,4.41588
sort,100000,aleatorio,D1,c,2.43753
merge,100000,aleatorio,D1,c,14.2804
quick,100000,aleatorio,D1,c,3.85716
patience,100000,aleatorio,D1,c,3.52698
sort,100000,aleatorio,D7,a,7.07402
merge,100000,aleatorio,D7,a,15.7957
quick,100000,aleatorio,D7,a,8.88667
patience,100000,aleatorio,D7,a,14.4311
sort,100000,aleatorio,D7,b,6.23928
merge,100000,aleatorio,D7,b,16.3921
quick,100000,aleatorio,D7,b,9.38157
patience,100000,aleatorio,D7,b,14.7856
sort,100000,aleatorio,D7,c,7.01355
merge,100000,aleatorio,D7,c,15.8488
quick,100000,aleatorio,D7,c,10.5463
patience,100000,aleatorio,D7,c,13.6362
sort,100000,ascendente,D1,a,1.68061
merge,100000,ascendente,D1,a,8.18525
quick,100000,ascendente,D1,a,2.22854
patience,100000,ascendente,D1,a,2.32625
sort,100000,ascendente,D1,b,1.06785
merge,100000,ascendente,D1,b,7.16665
quick,100000,ascendente,D1,b,1.77879
patience,100000,ascendente,D1,b,2.31217
sort,100000,ascendente,D1,c,1.05889
merge,100000,ascendente,D1,c,8.04825
quick,100000,ascendente,D1,c,2.44863
patience,100000,ascendente,D1,c,2.35312
sort,100000,ascendente,D7,a,1.32621
merge,100000,ascendente,D7,a,8.18794
quick,100000,ascendente,D7,a,1.80085
patience,100000,ascendente,D7,a,21.6179
sort,100000,ascendente,D7,b,1.13893
merge,100000,ascendente,D7,b,9.06029
quick,100000,ascendente,D7,b,2.26059
patience,100000,ascendente,D7,b,18.5779
sort,100000,ascendente,D7,c,1.09425
merge,100000,ascendente,D7,c,7.85941
quick,100000,ascendente,D7,c,2.98073
patience,100000,ascendente,D7,c,15.9625
sort,100000,descendente,D1,a,1.43982
merge,100000,descendente,D1,a,7.20565
quick,100000,descendente,D1,a,3.30212
patience,100000,descendente,D1,a,1.636
sort,100000,descendente,D1,b,0.951771
merge,100000,descendente,D1,b,10.786
quick,100000,descendente,D1,b,2.43695
patience,100000,descendente,D1,b,2.3519
sort,100000,descendente,D1,c,1.06802
merge,100000,descendente,D1,c,7.43556
quick,100000,descendente,D1,c,1.9542
patience,100000,descendente,D1,c,2.00813
sort,100000,descendente,D7,a,0.734441
merge,100000,descendente,D7,a,7.74229
quick,100000,descendente,D7,a,1.84426
patience,100000,descendente,D7,a,2.10405
sort,100000,descendente,D7,b,0.787009
merge,100000,descendente,D7,b,7.15498
quick,100000,descendente,D7,b,1.85209
patience,100000,descendente,D7,b,2.14672
sort,100000,descendente,D7,c,1.03201
merge,100000,descendente,D7,c,7.54259
quick,100000,descendente,D7,c,2.28223
patience,100000,descendente,D7,c,2.20344
sort,1000,aleatorio,D1,a,0.028033
merge,1000,aleatorio,D1,a,0.172858
quick,1000,aleatorio,D1,a,0.036682
patience,1000,aleatorio,D1,a,0.059601
sort,1000,aleatorio,D1,b,0.03317
merge,1000,aleatorio,D1,b,0.196103
quick,1000,aleatorio,D1,b,0.048818
patience,1000,aleatorio,D1,b,0.070203
sort,1000,aleatorio,D1,c,0.022163
merge,1000,aleatorio,D1,c,0.13064
quick,1000,aleatorio,D1,c,0.047273
patience,1000,aleatorio,D1,c,0.062294
sort,1000,aleatorio,D7,a,0.042892
merge,1000,aleatorio,D7,a,0.166605
quick,1000,aleatorio,D7,a,0.077286
patience,1000,aleatorio,D7,a,0.141896
sort,1000,aleatorio,D7,b,0.047359
merge,1000,aleatorio,D7,b,0.174025
quick,1000,aleatorio,D7,b,0.068375
patience,1000,aleatorio,D7,b,0.166322
sort,1000,aleatorio,D7,c,0.069145
merge,1000,aleatorio,D7,c,0.599789
quick,1000,aleatorio,D7,c,0.065361
patience,1000,aleatorio,D7,c,0.108922
sort,1000,ascendente,D1,a,0.013292
merge,1000,ascendente,D1,a,0.164058
quick,1000,ascendente,D1,a,0.031633
patience,1000,ascendente,D1,a,0.06813
sort,1000,ascendente,D1,b,0.012922
merge,1000,ascendente,D1,b,0.12753
quick,1000,ascendente,D1,b,0.037076
patience,1000,ascendente,D1,b,0.053983
sort,1000,ascendente,D1,c,0.013129
merge,1000,ascendente,D1,c,0.109768
quick,1000,ascendente,D1,c,0.032571
patience,1000,ascendente,D1,c,0.040761
sort,1000,ascendente,D7,a,0.014594
merge,1000,ascendente,D7,a,0.124649
quick,1000,ascendente,D7,a,0.024566
patience,1000,ascendente,D7,a,0.213078
sort,1000,ascendente,D7,b,0.015628
merge,1000,ascendente,D7,b,0.106946
quick,1000,ascendente,D7,b,0.021962
patience,1000,ascendente,D7,b,0.217405
sort,1000,ascendente,D7,c,0.035187
merge,1000,ascendente,D7,c,0.113807
quick,1000,ascendente,D7,c,0.02272
patience,1000,ascendente,D7,c,0.283726
sort,1000,descendente,D1,a,0.01316
merge,1000,descendente,D1,a,0.10675
quick,1000,descendente,D1,a,0.028027
patience,1000,descendente,D1,a,0.023151
sort,1000,descendente,D1,b,0.013041
